rule_id,work_a,work_b,risk,reason,legal_ref,evidence_type,adjacent_applicable
C001,화기,밀폐공간,반려,밀폐공간 내 산소결핍·가연성가스 상태에서 화기 사용 시 폭발,제241조;제618조;제619조,법조문직접확인,N
C002,화기,고소,보류,고소부 화기작업 불티가 하부로 비산하여 화재 발생,제241조;제241조의2,법조문직접확인,Y
C003,화기,굴착,보류,굴착부 지하매설 가스·소방배관 손상 상태에서 화기 사용 시 폭발,제38조;제241조,추론,N
C004,화기,중장비,보류,중장비 연료·유압유 인접 상태에서 화기작업 시 화재,제241조,추론,Y
C005,밀폐공간,정전,반려,정전으로 강제환기장치 정지 시 밀폐공간 내 산소결핍 급속 악화,제620조;제319조,법조문직접확인,N
C006,밀폐공간,고소,보류,밀폐공간 내 산소결핍으로 의식소실 시 추락,제624조,법조문겹침,N
C007,밀폐공간,중장비,보류,중장비 배기가스(일산화탄소)가 밀폐공간으로 유입되어 중독,제618조;제620조,추론,Y
C008,고소,중장비,보류,중장비가 작업발판·비계·고소작업대와 충돌하여 전도·추락 유발,제20조;제200조,법조문겹침,Y
C009,굴착,중장비,보류,굴착부 인근 중장비 통행으로 지반 붕괴 및 장비 전도,제38조;제199조;제200조,법조문직접확인,Y
C010,굴착,정전,보류,굴착 중 지하매설 전기·계장·통신 설비 손상,제38조,법조문직접확인,Y
C011,굴착,고소,보류,굴착으로 인한 지반 이완이 인접 비계·작업발판 전도 유발,제38조,추론,Y
C012,방사선,화기,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C013,방사선,밀폐공간,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C014,방사선,고소,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C015,방사선,중장비,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C016,방사선,굴착,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C017,방사선,정전,반려,방사선관리구역으로 지정·구획된 장소는 관계 근로자 외 출입이 제한되어 동시작업 불가,제575조;제579조,법조문직접확인,N
C018,정전,고소,보류,정전으로 조명 상실 시 고소작업 중 추락 위험,제319조,추론,N
C019,화기,도장,반려,화기작업과 도장의 혼재로 인한 인화성 증기 착화 화재·폭발 (실제 사망사고: RO탱크 스프레이 도장 중 화재·폭발 4명 사망),-,사례집(2025 조선업 중대재해 사례집 Part.6),Y
C020,화기,전기작업,보류,전기작업은 조선업 화기작업의 대표적 혼재작업 위험요인으로 명시됨(협소밀폐·고소·가연물·중량물취급과 같은 급) (용접 불티가 인접 구역의 노출된 배선·단자함으로 튈 수 있어 인접구역도 적용),산업안전보건기준에 관한 규칙 제318조;제38조,법조문직접확인,Y
