rule_id,section,applies_to,check_kind,target,severity,reason,resolution,legal_ref,evidence_type
R01,기본정보,전체,field,permit_id,HARD,허가번호 미기재,허가번호 부여 후 재신청,-,양식필수
R02,기본정보,전체,field,issue_date,COND,허가일자 미기재,허가일자 기재,-,양식필수
R03,기본정보,전체,field,applicant,HARD,신청인 정보·서명 누락,신청인 부서·직책·성명 기재 및 서명,-,양식필수
R04,기본정보,전체,field,period,HARD,작업허가기간 미기재,작업 시작·종료 일시 기재,-,양식필수
R05,기본정보,전체,field,zone,HARD,작업지역(장소) 미기재,작업지역 및 구역유형 기재,-,양식필수
R06,기본정보,전체,field,work_summary,COND,작업 개요 미기재,작업 내용 구체적 기재,-,양식필수
R07,첨부서류,전체,attachment,작업계획서,HARD,작업계획서 미첨부,사전조사 결과를 반영한 작업계획서 작성·첨부 및 근로자 주지,제38조,법조문직접확인
R08,첨부서류,화기,attachment,소화기목록,COND,화기작업 소화기목록 미첨부,비치 소화기구 목록 작성·첨부,제241조,법조문직접확인
R09,첨부서류,밀폐공간|방사선,attachment,특수작업절차서,HARD,특수작업절차서 미첨부,밀폐공간 작업 프로그램 등 특수작업절차서 작성·첨부,제619조,법조문직접확인
R10,첨부서류,정전,attachment,기술자료(도면),COND,정전작업 대상 전로 도면 미첨부,차단 대상 전로 계통도 첨부,제319조,법조문직접확인
R11,첨부서류,전체,attachment,안전장구목록,COND,안전장구목록 미첨부,작업조건에 맞는 보호구 목록 작성·첨부,제32조,법조문직접확인
R12,첨부서류,굴착,attachment,굴착도면,HARD,굴착도면 미첨부,지하매설물 위치가 표시된 굴착도면 첨부,제38조,법조문직접확인
R13,위험성평가,전체,assessment,risk_assessment,HARD,작업 전 위험성평가 미실시,작업 전 위험성평가 실시 및 결과 기록·보존,산업안전보건법 제36조,법조문직접확인
R14,위험성평가,전체,assessment,change_review,COND,작업내용 변화·상이 여부 미검토,기존 평가와 상이한 작업인지 검토 후 재평가 여부 결정,산업안전보건법 제36조,추론
R15,안전조치,전체,measure,작업구역설정,HARD,작업구역 설정 및 출입경고표지 미확인,작업구역 설정 후 관계자 외 출입금지 표지 게시,제20조,법조문직접확인
R16,안전조치,화기,measure,작업주위 가연성물질 제거,HARD,화기작업 주위 가연성물질 미제거,가연성물질을 화재위험 없는 장소로 별도 보관·저장,제236조;제241조,법조문직접확인
R17,안전조치,화기|밀폐공간,measure,가스농도측정,HARD,작업 전 가스농도 미측정,작업 시작 전 산소·유해가스 농도 측정 및 평가,제619조의2;제241조,법조문직접확인
R18,안전조치,화기,measure,비산불티 차단막 설치,HARD,용접불티 비산방지 조치 미실시,용접불티 비산방지덮개·용접방화포 등 설치,제241조,법조문직접확인
R19,안전조치,화기|밀폐공간,measure,환기장비,HARD,환기장비 미확보,작업 전·중 적정공기 유지되도록 환기 실시,제620조;제241조,법조문직접확인
R20,안전조치,밀폐공간|정전,measure,조명장비,COND,작업면 조명장비 미확보,작업에 필요한 조도 확보,제21조,추론
R21,안전조치,화기,measure,소화기,HARD,화기작업 장소 소화기구 미비치,화기작업에 따른 소화기구 비치,제241조,법조문직접확인
R22,안전조치,전체,measure,안전장구,HARD,작업조건에 맞는 보호구 미확인,작업별 필수 보호구 지급 및 착용,제32조,법조문직접확인
R23,안전조치,전체,measure,안전교육,COND,작업 전 안전교육 미실시,해당 작업 근로자 대상 안전교육 실시,제641조,추론
R24,보충-밀폐공간,밀폐공간,supplementary,통신수단,HARD,밀폐공간 내부와 외부 감시인 간 연락설비 미확보,작업장과 외부 감시인 간 상시 연락 설비 설치,제623조,법조문직접확인
