시설명,위도 (Latitude),경도 (Longitude)
조립 1공장,34.871325,128.699904
조립 2공장,34.868741,128.698858
조립 3공장,34.867504,128.701878
소부재조립공장,34.869093,128.70238
절단공장,34.86914,128.704043
선행의장 1공장,34.870092,128.69698
해양 의장공장,34.871923,128.716131
해양제작 1공장,34.866695,128.71051
해양제작 2공장,34.871019,128.713235
해양제작 3공장,34.872718,128.714884
전처리 및 도장공장,34.869063,128.692834
LNGC 도장 및 전처리 공장,34.86669,128.707484
해양플랜트 도장 및 전처리 공장,34.87933,128.7195
1도크와 900톤 골리앗 크레인,34.872148,128.695575
2도크와 900톤 골리앗 크레인,34.876258,128.703547
