t_sec,injected_scenario,voltage,current_amp,wire_feed,travel_speed,torque_percent,temperature_c,gas_flow,operating_state,anomalyType,reasonSensor,detectionSource,candidate,confirmed,severity,anomalyScore,anomalyThreshold,consecutiveCount
0.0,NORMAL,27.8,238.0,8.6,42.0,48.0,53.0,18.0,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.00629,0.05733,0
5.0,NORMAL,27.5,233.1,8.5,41.2,45.3,51.9,17.7,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.01544,0.05733,0
10.0,NORMAL,28.4,246.7,8.8,43.4,52.8,55.0,18.5,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.04005,0.05733,0
15.0,NORMAL,27.1,227.2,8.4,40.2,42.1,50.5,17.4,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.03508,0.05733,0
20.0,NORMAL,28.5,248.6,8.8,43.7,53.8,55.4,18.6,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.03621,0.05733,0
25.0,NORMAL,27.3,229.7,8.4,40.6,43.5,51.1,17.5,WELDING,NORMAL,,NORMAL,False,False,NORMAL,0.03066,0.05733,0
30.0,CURRENT_SPIKE,28.1,383.7,8.7,42.7,50.3,54.0,18.2,WELDING,CURRENT_SPIKE,current_amp,RULE,True,False,NORMAL,0.06423,0.05733,1
35.0,CURRENT_SPIKE,27.8,379.0,8.6,42.1,48.4,53.2,18.0,WELDING,CURRENT_SPIKE,current_amp,RULE,True,True,WARNING,0.06308,0.05733,2
40.0,CURRENT_SPIKE,27.4,370.5,8.5,41.1,45.0,51.7,17.7,WELDING,CURRENT_SPIKE,current_amp,RULE,True,True,WARNING,0.08612,0.05733,3
45.0,CURRENT_SPIKE,28.4,390.5,8.8,43.5,53.0,55.1,18.5,WELDING,CURRENT_SPIKE,current_amp,RULE,True,True,WARNING,0.04005,0.05733,4
50.0,CURRENT_SPIKE,27.1,363.1,8.4,40.2,42.0,50.5,17.4,WELDING,CURRENT_SPIKE,current_amp,RULE,True,True,WARNING,0.10891,0.05733,5
55.0,CURRENT_SPIKE,28.5,392.2,8.8,43.7,53.7,55.4,18.6,WELDING,CURRENT_SPIKE,current_amp,RULE,True,True,WARNING,0.04601,0.05733,6
60.0,GAS_FLOW_DROP,27.3,230.2,8.4,40.7,43.8,51.2,4.5,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,False,NORMAL,0.05868,0.05733,1
65.0,GAS_FLOW_DROP,28.0,241.5,8.7,42.6,49.9,53.8,4.9,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,True,WARNING,0.0792,0.05733,2
70.0,GAS_FLOW_DROP,27.9,239.5,8.6,42.2,48.8,53.3,4.9,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,True,WARNING,0.082,0.05733,3
75.0,GAS_FLOW_DROP,27.4,231.9,8.5,41.0,44.6,51.6,4.6,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,True,WARNING,0.05434,0.05733,4
80.0,GAS_FLOW_DROP,28.4,247.5,8.8,43.6,53.2,55.2,5.1,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,True,WARNING,0.08203,0.05733,5
85.0,GAS_FLOW_DROP,27.1,227.0,8.4,40.2,42.0,50.5,4.4,WELDING,GAS_FLOW_DROP,gas_flow,RULE,True,True,WARNING,0.0136,0.05733,6
90.0,AXIS_OVERLOAD,28.4,248.1,8.8,43.7,97.8,55.3,18.6,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,False,NORMAL,0.0753,0.05733,1
95.0,AXIS_OVERLOAD,27.3,230.8,8.4,40.8,94.7,51.4,17.6,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,True,WARNING,0.07486,0.05733,2
100.0,AXIS_OVERLOAD,28.0,240.8,8.7,42.5,96.5,53.6,18.2,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,True,WARNING,0.06921,0.05733,3
105.0,AXIS_OVERLOAD,27.9,240.2,8.7,42.4,96.4,53.5,18.1,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,True,WARNING,0.09866,0.05733,4
110.0,AXIS_OVERLOAD,27.4,231.3,8.4,40.9,94.8,51.5,17.6,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,True,WARNING,0.0843,0.05733,5
115.0,AXIS_OVERLOAD,28.4,247.9,8.8,43.6,97.8,55.2,18.5,WELDING,AXIS_OVERLOAD,torque_percent,RULE,True,True,WARNING,0.04638,0.05733,6
120.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,50.5,17.4,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,False,NORMAL,0.0136,0.05733,1
125.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,55.2,18.5,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,True,CRITICAL,0.13031,0.05733,2
