seam_id,profile,voltage_mean,voltage_std,voltage_min,voltage_max,current_amp_mean,current_amp_std,current_amp_min,current_amp_max,wire_feed_mean,wire_feed_std,wire_feed_min,wire_feed_max,travel_speed_mean,travel_speed_std,travel_speed_min,travel_speed_max,torque_percent_mean,torque_percent_std,torque_percent_min,torque_percent_max,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,gas_flow_mean,gas_flow_std,gas_flow_min,gas_flow_max,trueLabel,modelPrediction,defectRiskProbability,threshold,agree
0,STABLE_NORMAL,27.813,0.49,27.103,28.5,238.022,7.765,225.357,250.215,8.605,0.175,8.351,8.85,42.032,1.261,40.208,43.799,48.108,4.203,42.027,53.997,53.045,1.751,50.511,55.499,18.003,0.447,17.185,18.685,PASS,PASS,0.0175,0.35,True
1,STABLE_NORMAL,27.81,0.494,27.1,28.5,237.987,7.923,224.451,251.128,8.604,0.176,8.35,8.85,42.026,1.27,40.201,43.799,48.086,4.232,42.004,53.998,53.036,1.763,50.502,55.499,18.011,0.433,17.239,18.808,PASS,PASS,0.0212,0.35,True
2,STABLE_NORMAL,27.811,0.492,27.1,28.499,238.068,7.821,222.529,251.31,8.604,0.176,8.35,8.85,42.029,1.265,40.2,43.798,48.098,4.218,42.001,53.995,53.041,1.757,50.501,55.498,18.048,0.452,17.224,18.961,PASS,PASS,0.0191,0.35,True
3,STABLE_NORMAL,27.808,0.496,27.1,28.5,238.085,8.133,224.766,250.82,8.603,0.177,8.35,8.85,42.019,1.276,40.2,43.8,48.064,4.253,42.001,53.999,53.027,1.772,50.5,55.5,18.011,0.449,17.123,18.727,PASS,PASS,0.0236,0.35,True
4,STABLE_NORMAL,27.81,0.493,27.1,28.499,238.049,7.903,224.589,251.745,8.604,0.176,8.35,8.85,42.026,1.269,40.2,43.797,48.088,4.229,42.0,53.989,53.037,1.762,50.5,55.495,17.984,0.472,16.988,18.734,PASS,PASS,0.02,0.35,True
5,STABLE_NORMAL,27.798,0.499,27.1,28.499,237.739,8.335,222.361,252.265,8.599,0.178,8.35,8.85,41.995,1.284,40.2,43.798,47.984,4.279,42.001,53.994,52.993,1.783,50.5,55.497,17.971,0.454,17.168,18.804,PASS,PASS,0.0347,0.35,True
6,STABLE_NORMAL,27.811,0.492,27.1,28.5,238.231,8.219,223.685,252.907,8.604,0.176,8.35,8.85,42.028,1.266,40.2,43.8,48.095,4.221,42.0,54.0,53.04,1.759,50.5,55.5,18.031,0.448,17.231,18.864,PASS,PASS,0.0219,0.35,True
7,STABLE_NORMAL,27.803,0.499,27.1,28.499,237.781,7.962,225.004,249.561,8.601,0.178,8.35,8.85,42.008,1.283,40.2,43.797,48.026,4.276,42.0,53.991,53.011,1.782,50.5,55.496,17.991,0.426,17.195,18.735,PASS,PASS,0.0297,0.35,True
8,STABLE_NORMAL,27.791,0.495,27.1,28.5,238.305,8.096,223.798,250.86,8.597,0.177,8.35,8.85,41.976,1.272,40.2,43.8,47.92,4.239,42.0,54.0,52.967,1.766,50.5,55.5,17.971,0.448,17.207,18.733,PASS,PASS,0.0308,0.35,True
9,STABLE_NORMAL,27.813,0.49,27.1,28.499,238.308,8.192,222.098,253.523,8.604,0.175,8.35,8.85,42.032,1.261,40.2,43.797,48.108,4.204,42.0,53.99,53.045,1.752,50.5,55.496,18.003,0.461,17.064,18.849,PASS,PASS,0.0189,0.35,True
10,STABLE_NORMAL,27.809,0.495,27.1,28.499,237.981,7.773,223.418,251.73,8.603,0.177,8.35,8.85,42.023,1.273,40.201,43.799,48.076,4.242,42.002,53.996,53.032,1.768,50.501,55.498,17.983,0.427,17.119,18.786,PASS,PASS,0.0212,0.35,True
11,STABLE_NORMAL,27.801,0.499,27.1,28.5,238.081,8.112,224.561,251.028,8.6,0.178,8.35,8.85,42.002,1.284,40.201,43.799,48.007,4.28,42.003,53.997,53.003,1.783,50.501,55.499,18.034,0.463,17.107,18.871,PASS,PASS,0.0274,0.35,True
12,STABLE_NORMAL,27.788,0.492,27.1,28.499,237.169,7.732,224.684,249.721,8.596,0.176,8.35,8.85,41.97,1.264,40.2,43.797,47.899,4.213,42.0,53.989,52.958,1.755,50.5,55.496,17.993,0.439,17.159,18.738,PASS,PASS,0.0254,0.35,True
13,STABLE_NORMAL,27.788,0.491,27.1,28.5,237.487,7.444,225.925,253.739,8.596,0.175,8.35,8.85,41.968,1.262,40.2,43.8,47.894,4.207,42.001,54.0,52.956,1.753,50.5,55.5,17.98,0.458,17.134,18.79,PASS,PASS,0.0219,0.35,True
14,STABLE_NORMAL,27.79,0.494,27.1,28.5,237.875,7.989,223.314,251.626,8.596,0.176,8.35,8.85,41.974,1.27,40.201,43.799,47.914,4.232,42.002,53.996,52.964,1.763,50.501,55.498,17.945,0.436,17.198,18.705,PASS,PASS,0.0408,0.35,True
15,STABLE_NORMAL,27.804,0.498,27.1,28.5,237.72,8.254,223.158,251.733,8.602,0.178,8.35,8.85,42.011,1.281,40.2,43.8,48.037,4.272,42.001,53.999,53.015,1.78,50.5,55.5,17.986,0.438,17.239,18.834,PASS,PASS,0.0298,0.35,True
16,STABLE_NORMAL,27.788,0.491,27.1,28.5,237.613,8.063,223.757,251.158,8.596,0.175,8.35,8.85,41.968,1.262,40.2,43.8,47.894,4.207,42.0,54.0,52.956,1.753,50.5,55.5,17.979,0.42,17.308,18.866,PASS,PASS,0.0327,0.35,True
17,STABLE_NORMAL,27.811,0.493,27.1,28.5,238.233,7.684,223.046,252.025,8.604,0.176,8.35,8.85,42.028,1.266,40.2,43.8,48.095,4.222,42.001,53.999,53.039,1.759,50.5,55.5,18.013,0.453,17.272,18.831,PASS,PASS,0.0191,0.35,True
18,STABLE_NORMAL,27.789,0.492,27.1,28.5,237.505,8.292,223.171,250.795,8.596,0.176,8.35,8.85,41.971,1.266,40.2,43.799,47.903,4.219,42.001,53.998,52.96,1.758,50.501,55.499,18.007,0.458,17.207,18.891,PASS,PASS,0.0253,0.35,True
19,STABLE_NORMAL,27.79,0.493,27.101,28.5,237.776,8.162,222.592,253.007,8.596,0.176,8.35,8.85,41.973,1.269,40.203,43.8,47.911,4.229,42.009,54.0,52.963,1.762,50.504,55.5,17.989,0.436,17.227,18.671,PASS,PASS,0.0301,0.35,True
20,STABLE_NORMAL,27.789,0.493,27.1,28.5,237.967,7.783,225.003,250.363,8.596,0.176,8.35,8.85,41.972,1.266,40.2,43.8,47.905,4.222,42.001,53.999,52.961,1.759,50.5,55.5,18.017,0.462,17.172,18.815,PASS,PASS,0.0244,0.35,True
21,STABLE_NORMAL,27.807,0.497,27.1,28.499,238.035,8.157,224.52,252.605,8.602,0.177,8.35,8.85,42.018,1.277,40.201,43.799,48.059,4.257,42.002,53.995,53.025,1.774,50.501,55.498,18.035,0.432,17.252,18.808,PASS,PASS,0.0267,0.35,True
22,STABLE_NORMAL,27.812,0.491,27.101,28.5,237.962,8.145,224.89,252.499,8.604,0.176,8.35,8.85,42.031,1.264,40.202,43.8,48.102,4.212,42.007,53.999,53.042,1.755,50.503,55.5,18.026,0.433,17.131,18.884,PASS,PASS,0.0217,0.35,True
23,STABLE_NORMAL,27.804,0.499,27.101,28.5,237.949,8.038,224.028,251.169,8.601,0.178,8.35,8.85,42.009,1.282,40.203,43.8,48.03,4.274,42.009,54.0,53.013,1.781,50.504,55.5,18.009,0.487,17.123,18.926,PASS,PASS,0.0274,0.35,True
24,STABLE_NORMAL,27.789,0.493,27.1,28.499,238.335,7.908,225.734,251.675,8.596,0.176,8.35,8.85,41.972,1.267,40.2,43.797,47.908,4.225,42.0,53.988,52.962,1.76,50.5,55.495,17.988,0.43,17.209,18.691,PASS,PASS,0.0309,0.35,True
25,STABLE_NORMAL,27.811,0.493,27.1,28.5,238.198,7.943,225.428,250.553,8.604,0.176,8.35,8.85,42.028,1.267,40.201,43.799,48.094,4.223,42.003,53.997,53.039,1.759,50.501,55.499,18.038,0.444,17.315,18.79,PASS,PASS,0.0192,0.35,True
26,STABLE_NORMAL,27.798,0.499,27.1,28.499,238.149,7.992,225.293,253.399,8.599,0.178,8.35,8.85,41.995,1.284,40.2,43.798,47.984,4.279,42.001,53.994,52.993,1.783,50.5,55.497,17.985,0.479,17.136,18.772,PASS,PASS,0.0295,0.35,True
27,STABLE_NORMAL,27.795,0.498,27.101,28.5,237.687,8.195,222.798,250.952,8.598,0.178,8.35,8.85,41.987,1.28,40.203,43.8,47.956,4.268,42.01,54.0,52.982,1.778,50.504,55.5,17.992,0.439,17.239,19.063,PASS,PASS,0.036,0.35,True
28,STABLE_NORMAL,27.803,0.499,27.1,28.499,238.021,8.305,224.183,252.528,8.601,0.178,8.35,8.85,42.007,1.283,40.201,43.799,48.022,4.277,42.002,53.996,53.009,1.782,50.501,55.498,18.026,0.424,17.369,18.754,PASS,PASS,0.0334,0.35,True
29,STABLE_NORMAL,27.793,0.497,27.101,28.5,238.138,8.019,223.656,251.502,8.598,0.177,8.35,8.85,41.982,1.277,40.201,43.799,47.941,4.257,42.005,53.998,52.975,1.774,50.502,55.499,18.009,0.441,17.17,18.834,PASS,PASS,0.0302,0.35,True
30,STABLE_NORMAL,27.787,0.49,27.1,28.497,237.669,7.982,223.854,254.385,8.595,0.175,8.35,8.849,41.968,1.261,40.201,43.793,47.892,4.203,42.002,53.976,52.955,1.751,50.501,55.49,18.004,0.411,17.117,18.681,PASS,PASS,0.0441,0.35,True
31,STABLE_NORMAL,27.789,0.493,27.1,28.499,237.683,7.954,224.176,251.337,8.596,0.176,8.35,8.85,41.972,1.267,40.2,43.797,47.908,4.225,42.0,53.989,52.962,1.76,50.5,55.495,17.989,0.473,17.224,18.854,PASS,PASS,0.0317,0.35,True
